Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving	fastp-pct_adapter	fastp-before_filtering_read1_mean_length	fastp-before_filtering_read2_mean_length	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
SRR24510773	5.96401	95.414	31.655866999999997	0.174654	37.8102	99.77377892030849	0.48329048843187666	189.0	190.0						
SRR24510774	6.482799999999999	95.45230000000001	38.375330999999996	0.20959	38.135200000000005	99.5260888559652	0.8215092977757518	192.0	192.0						
SRR24510775	7.608339999999999	91.6259	40.371688	0.239176	38.1839	99.87556060365634	1.454020060632887	184.0	184.0						
SRR24510776	1.99234	94.5805	28.152307	0.138098	37.8986	99.83228511530399	0.28482614038892506	215.0	215.0						
SRR24510777	10.5228	95.2276	28.775544999999997	0.152914	38.5515	98.40279029061237	1.7259131509176555	199.0	200.0						
SRR24510778	1.14812	94.4158	16.862627	0.07936399999999999	37.6634	99.91187652642445	0.22660321776569228	225.0	225.0						
SRR24510779	1.58255	95.01570000000001	9.775129	0.04731	37.9071	99.82697501688048	0.37559081701553004	217.0	217.0						
SRR24510780	1.5093	96.16749999999999	15.652365	0.076448	37.728899999999996	99.81199080843952	0.27418007102569464	212.0	213.0						
SRR24510782	0.8867619999999999	95.7264	12.564306	0.059688	37.7861	99.86614910989158	0.16396734038281355	219.0	219.0						
SRR37461704	7.65091	95.3272	22.009793	0.117298	37.5535	99.25200115076746	0.26569189893554007	195.0	195.0						
SRR37461705	3.2441999999999998	94.85470000000001	24.415574	0.113782	37.5628	99.81927922237428	0.11580166333298242	225.0	225.0						
SRR37461706	3.8491699999999995	94.8808	17.665509	0.09140799999999999	37.5062	99.55997037424302	0.2483335511697817	203.0	203.0						
SRR37461707	4.2654	94.0245	28.010239	0.12896	37.548700000000004	99.79415907015617	0.18107811121600917	230.0	230.0						
SRR37461708	10.734499999999999	96.2466	17.71836	0.089334	37.7035	99.29089049926644	0.155603965678211	204.0	205.0						
SRR37461709	5.59724	95.4362	18.977442	0.099644	37.5278	99.41732849104042	0.19754958694177277	198.0	198.0						
SRR37461710	4.45266	95.3436	23.214662999999998	0.11329199999999999	37.491600000000005	99.69376979936642	0.19535374868004224	214.0	214.0						
SRR37461711	6.324739999999999	92.70439999999999	20.629037999999998	0.10653	37.3255	99.52354260089686	0.4390881913303438	208.0	208.0						
SRR37461712	2.59126	94.4144	14.285141999999999	0.069978	37.6238	99.63266700837178	0.24773620365624466	215.0	215.0						
SRR37461713	6.08381	95.464	12.270985999999999	0.060578	37.8017	99.55299917830732	0.19391947411668037	211.0	211.0						
